quote,author,tags,combined
"“you're still trying to protect me. real or not real,"" he whispers.""real,"" i answer. ""because that's what you and i do, protect each other.”","suzanne collins,","['hunger-games', 'katniss', 'peeta']","“you're still trying to protect me. real or not real,"" he whispers.""real,"" i answer. ""because that's what you and i do, protect each other.” - suzanne collins, [hunger-games, katniss, peeta]"
“there are worse crimes than burning books. one of them is not reading them.”,joseph brodsky,"['books', 'censorship', 'illiteracy', 'reading']","“there are worse crimes than burning books. one of them is not reading them.” - joseph brodsky [books, censorship, illiteracy, reading]"
“that's the thing about books. they let you travel without moving your feet.”,"jhumpa lahiri,",['books'],"“that's the thing about books. they let you travel without moving your feet.” - jhumpa lahiri, [books]"
"“accept yourself, love yourself, and keep moving forward. if you want to fly, you have to give up what weighs you down.”","roy t. bennett,","['accept-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-moving-forward', 'letting-go', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'love-yourself', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","“accept yourself, love yourself, and keep moving forward. if you want to fly, you have to give up what weighs you down.” - roy t. bennett, [accept-yourself, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, keep-moving-forward, letting-go, life, life-and-living, life-lessons, life-quotes, living, love-yourself, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking]"
“whatever it is you're seeking won't come in the form you're expecting.”,haruki marukami,['expectation'],“whatever it is you're seeking won't come in the form you're expecting.” - haruki marukami [expectation]
“what matters in life is not what happens to you but what you remember and how you remember it.”,gabriel garcia marquez,['life-memories'],“what matters in life is not what happens to you but what you remember and how you remember it.” - gabriel garcia marquez [life-memories]
"“it is said that your life flashes before your eyes just before you die. that is true, it's called life.”","terry pratchett,","['death', 'humor', 'life']","“it is said that your life flashes before your eyes just before you die. that is true, it's called life.” - terry pratchett, [death, humor, life]"
"“to douchebags!"" he said, gesturing to brad. ""and to girls that break your heart,"" he bowed his head to me. his eyes lost focus. ""and to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.”","jamie mcguire,","['best-friends', 'heartbreak', 'love']","“to douchebags!"" he said, gesturing to brad. ""and to girls that break your heart,"" he bowed his head to me. his eyes lost focus. ""and to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.” - jamie mcguire, [best-friends, heartbreak, love]"
"“i am very interested and fascinated how everyone loves each other, but no one really likes each other.”","stephen chbosky,",['moi'],"“i am very interested and fascinated how everyone loves each other, but no one really likes each other.” - stephen chbosky, [moi]"
"“everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.”","lemony snicket,",['funny'],"“everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.” - lemony snicket, [funny]"
“remember: the time you feel lonely is the time you most need to be by yourself. life's cruelest irony.”,"douglas coupland,","['irony', 'life', 'loneliness']","“remember: the time you feel lonely is the time you most need to be by yourself. life's cruelest irony.” - douglas coupland, [irony, life, loneliness]"
“you must stay drunk on writing so reality cannot destroy you.”,"ray bradbury,",['writing'],"“you must stay drunk on writing so reality cannot destroy you.” - ray bradbury, [writing]"
"“it may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”","khaled hosseini,","['fair', 'life']","“it may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...” - khaled hosseini, [fair, life]"
"“the simple things are also the most extraordinary things, and only the wise can see them.”","paulo coelho,",['wisdom'],"“the simple things are also the most extraordinary things, and only the wise can see them.” - paulo coelho, [wisdom]"
"“painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.”",leonardo da vinci,"['art', 'poetry']","“painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.” - leonardo da vinci [art, poetry]"
“if you're looking for sympathy you'll find it between shit and syphilis in the dictionary.”,"david sedaris,",['sympathy'],"“if you're looking for sympathy you'll find it between shit and syphilis in the dictionary.” - david sedaris, [sympathy]"
"“life is too short to waste your time on people who donâ€™t respect, appreciate, and value you.”","roy t. bennett,","['appreciate', 'inspiration', 'inspirational', 'inspirational-attitude']","“life is too short to waste your time on people who donâ€™t respect, appreciate, and value you.” - roy t. bennett, [appreciate, inspiration, inspirational, inspirational-attitude]"
“i have great faith in fools - self-confidence my friends will call it.”,"edgar allan poe,","['faith', 'fool', 'humor', 'self-confidence', 'self-irony']","“i have great faith in fools - self-confidence my friends will call it.” - edgar allan poe, [faith, fool, humor, self-confidence, self-irony]"
"“people are afraid of themselves, of their own reality; their feelings most of all. people talk about how great love is, but thatâ€™s bullshit. love hurts. feelings are disturbing. people are taught that pain is evil and dangerous. how can they deal with love if theyâ€™re afraid to feel? pain is meant to wake us up. people try to hide their pain. but theyâ€™re wrong. pain is something to carry, like a radio. you feel your strength in the experience of pain. itâ€™s all in how you carry it. thatâ€™s what matters. pain is a feeling. your feelings are a part of you. your own reality. if you feel ashamed of them, and hide them, youâ€™re letting society destroy your reality. you should stand up for your right to feel your pain.”",jim morrison,"['jim', 'life', 'morrison', 'pain', 'reality']","“people are afraid of themselves, of their own reality; their feelings most of all. people talk about how great love is, but thatâ€™s bullshit. love hurts. feelings are disturbing. people are taught that pain is evil and dangerous. how can they deal with love if theyâ€™re afraid to feel? pain is meant to wake us up. people try to hide their pain. but theyâ€™re wrong. pain is something to carry, like a radio. you feel your strength in the experience of pain. itâ€™s all in how you carry it. thatâ€™s what matters. pain is a feeling. your feelings are a part of you. your own reality. if you feel ashamed of them, and hide them, youâ€™re letting society destroy your reality. you should stand up for your right to feel your pain.” - jim morrison [jim, life, morrison, pain, reality]"
"“i have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.”","daphne rae,",['misattributed-to-mother-teresa'],"“i have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.” - daphne rae, [misattributed-to-mother-teresa]"
"“that does it,"" said jace. ""i'm going to get you a dictionary for christmas this year.""""why?"" isabelle said.""so you can look up 'fun.' i'm not sure you know what it means.”","cassandra clare,","['dictionary', 'fun', 'humor', 'isabelle-lightwood', 'jace-wayland']","“that does it,"" said jace. ""i'm going to get you a dictionary for christmas this year.""""why?"" isabelle said.""so you can look up 'fun.' i'm not sure you know what it means.” - cassandra clare, [dictionary, fun, humor, isabelle-lightwood, jace-wayland]"
“you must have chaos within you to give birth to a dancing star.”,friedrich nietzsche,"['art', 'chaos']","“you must have chaos within you to give birth to a dancing star.” - friedrich nietzsche [art, chaos]"
“i don't go looking for trouble. trouble usually finds me.”,"katie mcgarry,",['trouble'],"“i don't go looking for trouble. trouble usually finds me.” - katie mcgarry, [trouble]"
“to be nobody but yourself in a world which is doing its best day and night to make you like everybody else means to fight the hardest battle which any human being can fight and never stop fighting.”,e.e. cummings,['poetry'],“to be nobody but yourself in a world which is doing its best day and night to make you like everybody else means to fight the hardest battle which any human being can fight and never stop fighting.” - e.e. cummings [poetry]
"“that is part of the beauty of all literature. you discover that your longings are universal longings, that you're not lonely and isolated from anyone. you belong.”",f. scott fitzgerald,"['belonging', 'company', 'desires', 'literature', 'longings']","“that is part of the beauty of all literature. you discover that your longings are universal longings, that you're not lonely and isolated from anyone. you belong.” - f. scott fitzgerald [belonging, company, desires, literature, longings]"
“they love their hair because they're not smart enough to love something more interesting.”,"john green,","['awesomeness', 'funny']","“they love their hair because they're not smart enough to love something more interesting.” - john green, [awesomeness, funny]"
“beneath the makeup and behind the smile i am just a girl who wishes for the world.”,marilyn monroe,"['girl', 'makeup', 'world']","“beneath the makeup and behind the smile i am just a girl who wishes for the world.” - marilyn monroe [girl, makeup, world]"
"“some tourists think amsterdam is a city of sin, but in truth it is a city of freedom. and in freedom, most people find sin.”","john green,","['amsterdam', 'freedom', 'sin']","“some tourists think amsterdam is a city of sin, but in truth it is a city of freedom. and in freedom, most people find sin.” - john green, [amsterdam, freedom, sin]"
"“you have your way. i have my way. as for the right way, the correct way, and the only way, it does not exist.”",friedrich wilhelm nietzsche,"['amorality', 'correct-way', 'individuality', 'my-way', 'only-way', 'right-way', 'the-way', 'your-way']","“you have your way. i have my way. as for the right way, the correct way, and the only way, it does not exist.” - friedrich wilhelm nietzsche [amorality, correct-way, individuality, my-way, only-way, right-way, the-way, your-way]"
"“as usual, there is a great woman behind every idiot.”",john lennon,"['beatles', 'men', 'women']","“as usual, there is a great woman behind every idiot.” - john lennon [beatles, men, women]"
"“what happens when people open their hearts?""""they get better.”","haruki murakami,","['healing', 'vulnerability']","“what happens when people open their hearts?""""they get better.” - haruki murakami, [healing, vulnerability]"
"“imagine yourself as a living house. god comes in to rebuild that house. at first, perhaps, you can understand what he is doing. he is getting the drains right and stopping the leaks in the roof and so on; you knew that those jobs needed doing and so you are not surprised. but presently he starts knocking the house about in a way that hurts abominably and does not seem to make any sense. what on earth is he up to? the explanation is that he is building quite a different house from the one you thought of - throwing out a new wing here, putting on an extra floor there, running up towers, making courtyards. you thought you were being made into a decent little cottage: but he is building a palace. he intends to come and live in it himself.”","c.s. lewis,",['god-religion-house'],"“imagine yourself as a living house. god comes in to rebuild that house. at first, perhaps, you can understand what he is doing. he is getting the drains right and stopping the leaks in the roof and so on; you knew that those jobs needed doing and so you are not surprised. but presently he starts knocking the house about in a way that hurts abominably and does not seem to make any sense. what on earth is he up to? the explanation is that he is building quite a different house from the one you thought of - throwing out a new wing here, putting on an extra floor there, running up towers, making courtyards. you thought you were being made into a decent little cottage: but he is building a palace. he intends to come and live in it himself.” - c.s. lewis, [god-religion-house]"
"“i have never listened to anyone who criticized my taste in space travel, sideshows or gorillas. when this occurs, i pack up my dinosaurs and leave the room.”","ray bradbury,","['humour', 'individuality', 'science-fiction']","“i have never listened to anyone who criticized my taste in space travel, sideshows or gorillas. when this occurs, i pack up my dinosaurs and leave the room.” - ray bradbury, [humour, individuality, science-fiction]"
“prayer is not asking. it is a longing of the soul. it is daily admission of one's weakness. it is better in prayer to have a heart without words than words without a heart.”,mahatma gandhi,"['god', 'heart', 'humanity', 'inspirational', 'prayer', 'religion', 'souls', 'weakness']","“prayer is not asking. it is a longing of the soul. it is daily admission of one's weakness. it is better in prayer to have a heart without words than words without a heart.” - mahatma gandhi [god, heart, humanity, inspirational, prayer, religion, souls, weakness]"
"“books are my friends, my companions. they make me laugh and cry and find meaning in life.”","christopher paolini,","['books', 'christopher-paolini', 'eragon', 'good-reads']","“books are my friends, my companions. they make me laugh and cry and find meaning in life.” - christopher paolini, [books, christopher-paolini, eragon, good-reads]"
"“man may have discovered fire, but women discovered how to play with it.”","candace bushnell,","['love', 'relationships']","“man may have discovered fire, but women discovered how to play with it.” - candace bushnell, [love, relationships]"
"“i cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. it is too long ago. i was in the middle before i knew that i had begun.”","jane austen,","['love', 'romance']","“i cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. it is too long ago. i was in the middle before i knew that i had begun.” - jane austen, [love, romance]"
“education is the most powerful weapon which you can use to change the world.”,nelson mandela,"['change', 'education']","“education is the most powerful weapon which you can use to change the world.” - nelson mandela [change, education]"
“being crazy isn't enough.”,dr. seuss,['crazy'],“being crazy isn't enough.” - dr. seuss [crazy]
"“one day, in retrospect, the years of struggle will strike you as the most beautiful.”",sigmund freud,['inspirational-quotes'],"“one day, in retrospect, the years of struggle will strike you as the most beautiful.” - sigmund freud [inspirational-quotes]"
"“if you have a garden and a library, you have everything you need.”",cicero,['books'],"“if you have a garden and a library, you have everything you need.” - cicero [books]"
"“life is pain, highness. anyone who says differently is selling something.”","william goldman,","['life', 'pain']","“life is pain, highness. anyone who says differently is selling something.” - william goldman, [life, pain]"
"“if you are going through hell, keep going.”",winston s. churchill,"['hell', 'perseverance']","“if you are going through hell, keep going.” - winston s. churchill [hell, perseverance]"
"“should i kill myself, or have a cup of coffee?”",albert camus,[],"“should i kill myself, or have a cup of coffee?” - albert camus []"
"“love doesn't just sit there, like a stone, it has to be made, like bread; remade all the time, made new.”","ursula k. le guin,",['love'],"“love doesn't just sit there, like a stone, it has to be made, like bread; remade all the time, made new.” - ursula k. le guin, [love]"
"“i would have come for you. and if i couldn't walk, i'd crawl to you, and no matter how broken we were, we'd fight our way out together-knives drawn, pistols blazing. because that's what we do. we never stop fighting.”","leigh bardugo,","['crooked-kingdom', 'inej-ghafa', 'kaz-brekker', 'six-of-crows']","“i would have come for you. and if i couldn't walk, i'd crawl to you, and no matter how broken we were, we'd fight our way out together-knives drawn, pistols blazing. because that's what we do. we never stop fighting.” - leigh bardugo, [crooked-kingdom, inej-ghafa, kaz-brekker, six-of-crows]"
“i lie to myself all the time. but i never believe me.”,"s.e. hinton,","['lies', 'lying', 'self-deception', 'truth']","“i lie to myself all the time. but i never believe me.” - s.e. hinton, [lies, lying, self-deception, truth]"
"“but who prays for satan? who, in eighteen centuries, has had the common humanity to pray for the one sinner that needed it most?”",mark twain,['humor-satan'],"“but who prays for satan? who, in eighteen centuries, has had the common humanity to pray for the one sinner that needed it most?” - mark twain [humor-satan]"
“time flies like an arrow; fruit flies like a banana.”,anthony g. oettinger,"['humor', 'misattributed-to-groucho-marx', 'time']","“time flies like an arrow; fruit flies like a banana.” - anthony g. oettinger [humor, misattributed-to-groucho-marx, time]"
“percy wouldn't notice a joke if it danced naked in front of him wearing one of dobby's hats.”,"j.k. rowling,",['humor'],"“percy wouldn't notice a joke if it danced naked in front of him wearing one of dobby's hats.” - j.k. rowling, [humor]"
"“never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. if people all over the world...would do this, it would change the earth.”",william faulkner,"['advocacy', 'dissent', 'protest', 'truth', 'truth-telling']","“never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. if people all over the world...would do this, it would change the earth.” - william faulkner [advocacy, dissent, protest, truth, truth-telling]"
"“books are like mirrors: if a fool looks in, you cannot expect a genius to look out.”",j.k. rowling,['books'],"“books are like mirrors: if a fool looks in, you cannot expect a genius to look out.” - j.k. rowling [books]"
"“but i donâ€™t want to go among mad people,"" alice remarked.""oh, you canâ€™t help that,"" said the cat: ""weâ€™re all mad here. iâ€™m mad. youâ€™re mad.""""how do you know iâ€™m mad?"" said alice.""you must be,"" said the cat, ""or you wouldnâ€™t have come here.”","lewis carroll,",['alice-s-adventures-in-wonderland'],"“but i donâ€™t want to go among mad people,"" alice remarked.""oh, you canâ€™t help that,"" said the cat: ""weâ€™re all mad here. iâ€™m mad. youâ€™re mad.""""how do you know iâ€™m mad?"" said alice.""you must be,"" said the cat, ""or you wouldnâ€™t have come here.” - lewis carroll, [alice-s-adventures-in-wonderland]"
“nothing of me is original. i am the combined effort of everyone i've ever known.”,"chuck palahniuk,","['identity', 'originality']","“nothing of me is original. i am the combined effort of everyone i've ever known.” - chuck palahniuk, [identity, originality]"
“the difference between the almost right word and the right word is really a large matter. â€™tis the difference between the lightning bug and the lightning.”,"mark twain,",['writing'],"“the difference between the almost right word and the right word is really a large matter. â€™tis the difference between the lightning bug and the lightning.” - mark twain, [writing]"
"“i like your christ, i do not like your christians. your christians are so unlike your christ.”",mahatma gandhi,"['anti-christian', 'christianity', 'christians', 'jesus-christ']","“i like your christ, i do not like your christians. your christians are so unlike your christ.” - mahatma gandhi [anti-christian, christianity, christians, jesus-christ]"
"“i think god, in creating man, somewhat overestimated his ability.”",oscar wilde,"['creation', 'god', 'humor', 'man']","“i think god, in creating man, somewhat overestimated his ability.” - oscar wilde [creation, god, humor, man]"
"“what i want is to be needed. what i need is to be indispensable to somebody. who i need is somebody that will eat up all my free time, my ego, my attention. somebody addicted to me. a mutual addiction.”","chuck palahniuk,",['love'],"“what i want is to be needed. what i need is to be indispensable to somebody. who i need is somebody that will eat up all my free time, my ego, my attention. somebody addicted to me. a mutual addiction.” - chuck palahniuk, [love]"
"“reading was my escape and my comfort, my consolation, my stimulant of choice: reading for the pure pleasure of it, for the beautiful stillness that surrounds you when you hear an author's words reverberating in your head.”","paul auster,","['books', 'reading']","“reading was my escape and my comfort, my consolation, my stimulant of choice: reading for the pure pleasure of it, for the beautiful stillness that surrounds you when you hear an author's words reverberating in your head.” - paul auster, [books, reading]"
“stories of imagination tend to upset those without one.”,terry pratchett,"['fantasy', 'humor', 'imagination', 'literature', 'stories']","“stories of imagination tend to upset those without one.” - terry pratchett [fantasy, humor, imagination, literature, stories]"
“it isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. it is what you think about it.”,"dale carnegie,","['attitude', 'contentment', 'happiness', 'inspirational', 'life']","“it isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. it is what you think about it.” - dale carnegie, [attitude, contentment, happiness, inspirational, life]"
“a girl should be two things: classy and fabulous.”,coco chanel,"['beauty', 'class', 'fashion', 'girls', 'women']","“a girl should be two things: classy and fabulous.” - coco chanel [beauty, class, fashion, girls, women]"
"“what i need is the dandelion in the spring. the bright yellow that means rebirth instead of destruction. the promise that life can go on, no matter how bad our losses. that it can be good again.”","suzanne collins,","['inspirational', 'love']","“what i need is the dandelion in the spring. the bright yellow that means rebirth instead of destruction. the promise that life can go on, no matter how bad our losses. that it can be good again.” - suzanne collins, [inspirational, love]"
"“i love people who make me laugh. i honestly think it's the thing i like most, to laugh. it cures a multitude of ills. it's probably the most important thing in a person.”",audrey hepburn,['laughter'],"“i love people who make me laugh. i honestly think it's the thing i like most, to laugh. it cures a multitude of ills. it's probably the most important thing in a person.” - audrey hepburn [laughter]"
"“when a man gives his opinion, he's a man. when a woman gives her opinion, she's a bitch.”",bette davis,"['clichã©s', 'double-standards', 'empowerment', 'feminism', 'gender', 'hypocrisy', 'misogyny', 'opinions', 'speaking-out', 'stereotypes', 'women']","“when a man gives his opinion, he's a man. when a woman gives her opinion, she's a bitch.” - bette davis [clichã©s, double-standards, empowerment, feminism, gender, hypocrisy, misogyny, opinions, speaking-out, stereotypes, women]"
"“my daddy said, that the first time you fall in love, it changes you forever and no matter how hard you try, that feeling just never goes away.”","nicholas sparks,","['love', 'nicholas', 'nicholas-sparks', 'sparks', 'the-notebook']","“my daddy said, that the first time you fall in love, it changes you forever and no matter how hard you try, that feeling just never goes away.” - nicholas sparks, [love, nicholas, nicholas-sparks, sparks, the-notebook]"
"“i don't trust people who don't love themselves and tell me, 'i love you.' ... there is an african saying which is: be careful when a naked person offers you a shirt.”",maya angelou,"['1997', 'annie-clark-tanner-lecture', 'inspirational', 'love', 'trust']","“i don't trust people who don't love themselves and tell me, 'i love you.' ... there is an african saying which is: be careful when a naked person offers you a shirt.” - maya angelou [1997, annie-clark-tanner-lecture, inspirational, love, trust]"
“every child is an artist. the problem is how to remain an artist once he grows up.”,pablo picasso,['art'],“every child is an artist. the problem is how to remain an artist once he grows up.” - pablo picasso [art]
“deadlines just aren't real to me until i'm staring one in the face.”,"rick riordan,","['deadlines', 'humor', 'procrastinate']","“deadlines just aren't real to me until i'm staring one in the face.” - rick riordan, [deadlines, humor, procrastinate]"
"“love does not consist of gazing at each other, but in looking outward together in the same direction.”","antoine de saint-exupã©ry,",['love'],"“love does not consist of gazing at each other, but in looking outward together in the same direction.” - antoine de saint-exupã©ry, [love]"
"“it hurts to let go. sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. you feel like some kind of criminal for having felt, for having wanted. for having wanted to be wanted. it confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. you're left so alone that you can't explain. damn, there's nothing like that, is there? i've been there and you have too. you're nodding your head.”","henry rollins,","['life', 'love', 'relationships']","“it hurts to let go. sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. you feel like some kind of criminal for having felt, for having wanted. for having wanted to be wanted. it confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. you're left so alone that you can't explain. damn, there's nothing like that, is there? i've been there and you have too. you're nodding your head.” - henry rollins, [life, love, relationships]"
“i never travel without my diary. one should always have something sensational to read in the train.”,"oscar wilde,","['drama', 'humor', 'plays']","“i never travel without my diary. one should always have something sensational to read in the train.” - oscar wilde, [drama, humor, plays]"
“the future belongs to those who believe in the beauty of their dreams.”,eleanor roosevelt,"['dreams', 'future', 'inspirational', 'misattributed-eleanor-roosevelt']","“the future belongs to those who believe in the beauty of their dreams.” - eleanor roosevelt [dreams, future, inspirational, misattributed-eleanor-roosevelt]"
“you cannot swim for new horizons until you have courage to lose sight of the shore.”,william faulkner,"['courage', 'determination', 'hope', 'risk']","“you cannot swim for new horizons until you have courage to lose sight of the shore.” - william faulkner [courage, determination, hope, risk]"
"“and, in the endthe love you takeis equal to the love you make.”","paul mccartney,","['beatles', 'inspirational', 'live', 'love', 'music']","“and, in the endthe love you takeis equal to the love you make.” - paul mccartney, [beatles, inspirational, live, love, music]"
“live the life of your dreams: be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,"roy t. bennett,","['brave', 'courage', 'dreams', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'purpose', 'vision']","“live the life of your dreams: be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.” - roy t. bennett, [brave, courage, dreams, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, purpose, vision]"
"“there are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”","patrick rothfuss,","['fear', 'name-of-the-wind', 'patrick-rothfuss', 'wisdom']","“there are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.” - patrick rothfuss, [fear, name-of-the-wind, patrick-rothfuss, wisdom]"
“no book is really worth reading at the age of ten which is not equally â€“ and often far more â€“ worth reading at the age of fifty and beyond.”,c.s. lewis,"['age', 'books', 're-reading', 'reading']","“no book is really worth reading at the age of ten which is not equally â€“ and often far more â€“ worth reading at the age of fifty and beyond.” - c.s. lewis [age, books, re-reading, reading]"
"“if heâ€™s not calling you, itâ€™s because you are not on his mind. if he creates expectations for you, and then doesnâ€™t follow through on little things, he will do same for big things. be aware of this and realize that heâ€™s okay with disappointing you. donâ€™t be with someone who doesnâ€™t do what they say theyâ€™re going to do. if heâ€™s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesnâ€™t respect your feelings and needs. â€œbusyâ€� is another word for â€œasshole.â€� â€œassholeâ€� is another word for the guy youâ€™re dating. you deserve a fcking phone call.”",greg behrendt,"['busy', 'call', 'dating', 'dating-advice', 'faith', 'greg-behrendt', 'guys', 'he-s-not-just-into-you', 'love', 'marriage', 'romance', 'true']","“if heâ€™s not calling you, itâ€™s because you are not on his mind. if he creates expectations for you, and then doesnâ€™t follow through on little things, he will do same for big things. be aware of this and realize that heâ€™s okay with disappointing you. donâ€™t be with someone who doesnâ€™t do what they say theyâ€™re going to do. if heâ€™s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesnâ€™t respect your feelings and needs. â€œbusyâ€� is another word for â€œasshole.â€� â€œassholeâ€� is another word for the guy youâ€™re dating. you deserve a fcking phone call.” - greg behrendt [busy, call, dating, dating-advice, faith, greg-behrendt, guys, he-s-not-just-into-you, love, marriage, romance, true]"
"“why do you go away? so that you can come back. so that you can see the place you came from with new eyes and extra colors. and the people there see you differently, too. coming back to where you started is not the same as never leaving.”","terry pratchett,","['adventure', 'change', 'discworld', 'growth', 'travel']","“why do you go away? so that you can come back. so that you can see the place you came from with new eyes and extra colors. and the people there see you differently, too. coming back to where you started is not the same as never leaving.” - terry pratchett, [adventure, change, discworld, growth, travel]"
"“it was love at first sight, at last sight, at ever and ever sight.”","vladimir nabokov,","['humbert-humbert', 'love']","“it was love at first sight, at last sight, at ever and ever sight.” - vladimir nabokov, [humbert-humbert, love]"
"“resist much, obey little.”","walt whitman,",['poetry'],"“resist much, obey little.” - walt whitman, [poetry]"
"“loyalty to country always. loyalty to government, when it deserves it.”",mark twain,"['patriotism', 'politics']","“loyalty to country always. loyalty to government, when it deserves it.” - mark twain [patriotism, politics]"
"“i like living. i have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all i still know quite certainly that just to be alive is a grand thing.”",agatha christie,['inspirational'],"“i like living. i have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all i still know quite certainly that just to be alive is a grand thing.” - agatha christie [inspirational]"
"“if you love somebody, let them go, for if they return, they were always yours. if they don't, they never were.”",kahlil gibran,"['life', 'love', 'romance']","“if you love somebody, let them go, for if they return, they were always yours. if they don't, they never were.” - kahlil gibran [life, love, romance]"
“my tastes are simple: i am easily satisfied with the best.”,winston s. churchill,"['humor', 'taste']","“my tastes are simple: i am easily satisfied with the best.” - winston s. churchill [humor, taste]"
“i don't want to die without any scars.”,"chuck palahniuk,","['death', 'scars', 'tyler-durden']","“i don't want to die without any scars.” - chuck palahniuk, [death, scars, tyler-durden]"
"“believe in yourself. you are braver than you think, more talented than you know, and capable of more than you imagine.”","roy t. bennett,","['achievement', 'believe-in-yourself', 'brave', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'talent']","“believe in yourself. you are braver than you think, more talented than you know, and capable of more than you imagine.” - roy t. bennett, [achievement, believe-in-yourself, brave, courage, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, talent]"
"“truth is stranger than fiction, but it is because fiction is obliged to stick to possibilities; truth isn't.”","mark twain,","['books', 'truth']","“truth is stranger than fiction, but it is because fiction is obliged to stick to possibilities; truth isn't.” - mark twain, [books, truth]"
"“if music be the food of love, play on,give me excess of it; that surfeiting,the appetite may sicken, and so die.”","william shakespeare,","['music', 'romance', 'unrequited-love']","“if music be the food of love, play on,give me excess of it; that surfeiting,the appetite may sicken, and so die.” - william shakespeare, [music, romance, unrequited-love]"
"“show me a hero, and i'll write you a tragedy.”",f. scott fitzgerald,['f-scott-fitzgerald'],"“show me a hero, and i'll write you a tragedy.” - f. scott fitzgerald [f-scott-fitzgerald]"
"“it's a dangerous business, frodo, going out your door. you step onto the road, and if you don't keep your feet, there's no knowing where you might be swept off to.”","j.r.r. tolkien,",['wisdom'],"“it's a dangerous business, frodo, going out your door. you step onto the road, and if you don't keep your feet, there's no knowing where you might be swept off to.” - j.r.r. tolkien, [wisdom]"
"“i do not fear death. i had been dead for billions and billions of years before i was born, and had not suffered the slightest inconvenience from it.”",mark twain,"['death', 'inspirational']","“i do not fear death. i had been dead for billions and billions of years before i was born, and had not suffered the slightest inconvenience from it.” - mark twain [death, inspirational]"
“angry people are not always wise.”,"jane austen,","['anger', 'jane-austen', 'wisdom']","“angry people are not always wise.” - jane austen, [anger, jane-austen, wisdom]"
"“by three methods we may learn wisdom: first, by reflection, which is noblest; second, by imitation, which is easiest; and third by experience, which is the bitterest.”",confucious,['wisdom'],"“by three methods we may learn wisdom: first, by reflection, which is noblest; second, by imitation, which is easiest; and third by experience, which is the bitterest.” - confucious [wisdom]"
